season,round,race_name,circuit,driver,team,grid,position,points,status,won,dnf,driver_avg_finish_last3,driver_circuit_win_rate,driver_dnf_rate,team_avg_points_last3,cumulative_points,driver_championship_pos,gap_to_leader,regulation_era,home_race
2020,14,Turkish Grand Prix,istanbul,albon,Red Bull,4,7.0,6.0,Finished,0,0,15.666666666666666,,0.08823529411764706,11.333333333333334,70.0,9.0,218.0,1,0
2020,15,Bahrain Grand Prix,bahrain,albon,Red Bull,4,3.0,15.0,Finished,0,0,11.333333333333334,0.0,0.08571428571428572,9.666666666666666,85.0,9.0,237.0,1,0
2020,16,Sakhir Grand Prix,bahrain,albon,Red Bull,12,6.0,8.0,Finished,0,0,8.333333333333334,0.0,0.08333333333333333,16.0,93.0,8.0,247.0,1,0
2020,17,Abu Dhabi Grand Prix,yas_marina,albon,Red Bull,5,4.0,12.0,Finished,0,0,5.333333333333333,0.0,0.08108108108108109,18.666666666666668,105.0,7.0,112.0,1,0
2022,1,Bahrain Grand Prix,bahrain,albon,Williams,14,13.0,0.0,Finished,0,0,4.333333333333333,0.0,0.07894736842105263,0.0,0.0,6.0,242.0,2,0
2022,2,Saudi Arabian Grand Prix,jeddah,albon,Williams,16,14.0,0.0,Collision damage,0,1,7.666666666666667,,0.07692307692307693,0.0,0.0,11.0,26.0,2,0
2022,3,Australian Grand Prix,albert_park,albon,Williams,20,10.0,1.0,Finished,0,0,10.333333333333334,0.0,0.1,0.0,1.0,15.0,45.0,2,0
2022,4,Emilia Romagna Grand Prix,imola,albon,Williams,18,11.0,0.0,+1 Lap,0,0,12.333333333333334,0.0,0.0975609756097561,0.3333333333333333,1.0,15.0,70.0,2,0
2022,5,Miami Grand Prix,miami,albon,Williams,18,9.0,2.0,Finished,0,0,11.666666666666666,,0.09523809523809523,0.3333333333333333,3.0,16.0,78.0,2,0
2022,6,Spanish Grand Prix,catalunya,albon,Williams,18,18.0,0.0,+2 Laps,0,0,10.0,0.0,0.09302325581395349,1.0,3.0,15.0,94.0,2,0
2022,7,Monaco Grand Prix,monaco,albon,Williams,16,20.0,0.0,Mechanical,0,1,12.666666666666666,0.0,0.09090909090909091,0.6666666666666666,3.0,16.0,99.0,2,0
2022,8,Azerbaijan Grand Prix,baku,albon,Williams,17,12.0,0.0,+1 Lap,0,0,15.666666666666666,0.0,0.1111111111111111,0.6666666666666666,3.0,16.0,114.0,2,0
2022,9,Canadian Grand Prix,villeneuve,albon,Williams,12,13.0,0.0,Finished,0,0,16.666666666666668,0.0,0.10869565217391304,0.0,3.0,16.0,139.0,2,0
2022,10,British Grand Prix,silverstone,albon,Williams,16,20.0,0.0,Collision,0,1,15.0,0.0,0.10638297872340426,0.0,3.0,17.0,164.0,2,0
2022,11,Austrian Grand Prix,red_bull_ring,albon,Williams,15,12.0,0.0,+1 Lap,0,0,15.0,0.0,0.125,0.0,3.0,18.0,170.0,2,0
2022,12,French Grand Prix,ricard,albon,Williams,13,13.0,0.0,Finished,0,0,15.0,0.0,0.12244897959183673,0.0,3.0,18.0,189.0,2,0
2022,13,Hungarian Grand Prix,hungaroring,albon,Williams,17,17.0,0.0,+1 Lap,0,0,15.0,0.0,0.12,0.0,3.0,19.0,214.0,2,0
2022,14,Belgian Grand Prix,spa,albon,Williams,6,10.0,1.0,Finished,0,0,14.0,0.0,0.11764705882352941,0.0,4.0,19.0,239.0,2,0
2022,15,Dutch Grand Prix,zandvoort,albon,Williams,15,12.0,0.0,Finished,0,0,13.333333333333334,,0.11538461538461539,0.3333333333333333,4.0,18.0,264.0,2,0
2022,17,Singapore Grand Prix,marina_bay,albon,Williams,18,20.0,0.0,Collision damage,0,1,13.0,0.0,0.11320754716981132,1.0,4.0,19.0,290.0,2,0
2022,18,Japanese Grand Prix,suzuka,albon,Williams,16,20.0,0.0,Hydraulics,0,1,14.0,0.0,0.12962962962962962,0.6666666666666666,4.0,19.0,321.0,2,0
2022,19,United States Grand Prix,americas,albon,Williams,8,13.0,0.0,Finished,0,0,17.333333333333332,0.0,0.14545454545454545,1.3333333333333333,4.0,19.0,346.0,2,0
2022,20,Mexico City Grand Prix,rodriguez,albon,Williams,17,12.0,0.0,+1 Lap,0,0,17.666666666666668,0.0,0.14285714285714285,0.6666666666666666,4.0,19.0,371.0,2,0
2022,21,São Paulo Grand Prix,interlagos,albon,Williams,19,15.0,0.0,Finished,0,0,15.0,0.0,0.14035087719298245,0.6666666666666666,4.0,19.0,396.0,2,0
2022,22,Abu Dhabi Grand Prix,yas_marina,albon,Williams,19,13.0,0.0,+1 Lap,0,0,13.333333333333334,0.0,0.13793103448275862,0.0,4.0,19.0,404.0,2,0
2023,1,Bahrain Grand Prix,bahrain,albon,Williams,15,10.0,1.0,Finished,0,0,13.333333333333334,0.0,0.13559322033898305,0.0,1.0,19.0,429.0,2,0
2023,2,Saudi Arabian Grand Prix,jeddah,albon,Williams,17,20.0,0.0,Brakes,0,1,12.666666666666666,0.0,0.13333333333333333,0.3333333333333333,1.0,10.0,24.0,2,0
2023,3,Australian Grand Prix,albert_park,albon,Williams,8,20.0,0.0,Accident,0,1,14.333333333333334,0.0,0.14754098360655737,0.3333333333333333,1.0,12.0,43.0,2,0
2023,4,Azerbaijan Grand Prix,baku,albon,Williams,12,12.0,0.0,Finished,0,0,16.666666666666668,0.0,0.16129032258064516,0.3333333333333333,1.0,16.0,68.0,2,0
