season,round,race_name,circuit,driver,team,grid,position,points,status
2010,3,Malaysian Grand Prix,sepang,rosa,Sauber,12,\N,0.0,Engine
2010,4,Chinese Grand Prix,shanghai,button,McLaren,5,1,25.0,Finished
2010,4,Chinese Grand Prix,shanghai,hamilton,McLaren,6,2,18.0,Finished
2010,4,Chinese Grand Prix,shanghai,rosberg,Mercedes,4,3,15.0,Finished
2010,4,Chinese Grand Prix,shanghai,alonso,Ferrari,3,4,12.0,Finished
2010,4,Chinese Grand Prix,shanghai,kubica,Renault,8,5,10.0,Finished
2010,4,Chinese Grand Prix,shanghai,vettel,Red Bull,1,6,8.0,Finished
2010,4,Chinese Grand Prix,shanghai,petrov,Renault,14,7,6.0,Finished
2010,4,Chinese Grand Prix,shanghai,webber,Red Bull,2,8,4.0,Finished
2010,4,Chinese Grand Prix,shanghai,massa,Ferrari,7,9,2.0,Finished
2010,4,Chinese Grand Prix,shanghai,michael_schumacher,Mercedes,9,10,1.0,Finished
2010,4,Chinese Grand Prix,shanghai,sutil,Force India,10,11,0.0,Finished
2010,4,Chinese Grand Prix,shanghai,barrichello,Williams,11,12,0.0,Finished
2010,4,Chinese Grand Prix,shanghai,alguersuari,Toro Rosso,12,13,0.0,Finished
2010,4,Chinese Grand Prix,shanghai,kovalainen,Lotus,21,14,0.0,+1 Lap
2010,4,Chinese Grand Prix,shanghai,hulkenberg,Williams,16,15,0.0,+1 Lap
2010,4,Chinese Grand Prix,shanghai,bruno_senna,HRT,23,16,0.0,+2 Laps
2010,4,Chinese Grand Prix,shanghai,chandhok,HRT,24,17,0.0,+4 Laps
2010,4,Chinese Grand Prix,shanghai,trulli,Lotus,20,\N,0.0,Hydraulics
2010,4,Chinese Grand Prix,shanghai,grassi,Virgin,22,\N,0.0,Clutch
2010,4,Chinese Grand Prix,shanghai,rosa,Sauber,17,\N,0.0,Technical
2010,4,Chinese Grand Prix,shanghai,buemi,Toro Rosso,13,\N,0.0,Accident
2010,4,Chinese Grand Prix,shanghai,kobayashi,Sauber,15,\N,0.0,Accident
2010,4,Chinese Grand Prix,shanghai,liuzzi,Force India,18,\N,0.0,Accident
2010,4,Chinese Grand Prix,shanghai,glock,Virgin,19,\N,0.0,Engine
2010,5,Spanish Grand Prix,catalunya,webber,Red Bull,1,1,25.0,Finished
2010,5,Spanish Grand Prix,catalunya,alonso,Ferrari,4,2,18.0,Finished
2010,5,Spanish Grand Prix,catalunya,vettel,Red Bull,2,3,15.0,Finished
2010,5,Spanish Grand Prix,catalunya,michael_schumacher,Mercedes,6,4,12.0,Finished
2010,5,Spanish Grand Prix,catalunya,button,McLaren,5,5,10.0,Finished
2010,5,Spanish Grand Prix,catalunya,massa,Ferrari,9,6,8.0,Finished
2010,5,Spanish Grand Prix,catalunya,sutil,Force India,11,7,6.0,Finished
2010,5,Spanish Grand Prix,catalunya,kubica,Renault,7,8,4.0,Finished
2010,5,Spanish Grand Prix,catalunya,barrichello,Williams,17,9,2.0,+1 Lap
2010,5,Spanish Grand Prix,catalunya,alguersuari,Toro Rosso,15,10,1.0,+1 Lap
2010,5,Spanish Grand Prix,catalunya,petrov,Renault,19,11,0.0,+1 Lap
2010,5,Spanish Grand Prix,catalunya,kobayashi,Sauber,10,12,0.0,+1 Lap
2010,5,Spanish Grand Prix,catalunya,rosberg,Mercedes,8,13,0.0,+1 Lap
2010,5,Spanish Grand Prix,catalunya,hamilton,McLaren,3,14,0.0,Puncture
2010,5,Spanish Grand Prix,catalunya,liuzzi,Force India,16,15,0.0,Engine
2010,5,Spanish Grand Prix,catalunya,hulkenberg,Williams,13,16,0.0,+2 Laps
2010,5,Spanish Grand Prix,catalunya,trulli,Lotus,18,17,0.0,+3 Laps
2010,5,Spanish Grand Prix,catalunya,glock,Virgin,22,18,0.0,+3 Laps
2010,5,Spanish Grand Prix,catalunya,grassi,Virgin,23,19,0.0,+4 Laps
2010,5,Spanish Grand Prix,catalunya,buemi,Toro Rosso,14,\N,0.0,Hydraulics
2010,5,Spanish Grand Prix,catalunya,chandhok,HRT,24,\N,0.0,Suspension
2010,5,Spanish Grand Prix,catalunya,rosa,Sauber,12,\N,0.0,Collision
2010,5,Spanish Grand Prix,catalunya,bruno_senna,HRT,21,\N,0.0,Accident
2010,5,Spanish Grand Prix,catalunya,kovalainen,Lotus,20,\N,0.0,Gearbox
2010,6,Monaco Grand Prix,monaco,webber,Red Bull,1,1,25.0,Finished
2010,6,Monaco Grand Prix,monaco,vettel,Red Bull,3,2,18.0,Finished
2010,6,Monaco Grand Prix,monaco,kubica,Renault,2,3,15.0,Finished
2010,6,Monaco Grand Prix,monaco,massa,Ferrari,4,4,12.0,Finished
2010,6,Monaco Grand Prix,monaco,hamilton,McLaren,5,5,10.0,Finished
2010,6,Monaco Grand Prix,monaco,alonso,Ferrari,24,6,8.0,Finished
2010,6,Monaco Grand Prix,monaco,rosberg,Mercedes,6,7,6.0,Finished
2010,6,Monaco Grand Prix,monaco,sutil,Force India,12,8,4.0,Finished
2010,6,Monaco Grand Prix,monaco,liuzzi,Force India,10,9,2.0,Finished
