season,round,race_name,circuit,driver,team,grid,position,points,status
2010,2,Australian Grand Prix,albert_park,michael_schumacher,Mercedes,7,10,1,Finished
2010,2,Australian Grand Prix,albert_park,alguersuari,Toro Rosso,17,11,0,Finished
2010,2,Australian Grand Prix,albert_park,rosa,Sauber,14,12,0,Finished
2010,2,Australian Grand Prix,albert_park,kovalainen,Lotus,19,13,0,+2 Laps
2010,2,Australian Grand Prix,albert_park,chandhok,HRT,22,14,0,+5 Laps
2010,2,Australian Grand Prix,albert_park,glock,Virgin,23,15,0,Suspension
2010,2,Australian Grand Prix,albert_park,grassi,Virgin,24,16,0,Hydraulics
2010,2,Australian Grand Prix,albert_park,vettel,Red Bull,1,17,0,Wheel
2010,2,Australian Grand Prix,albert_park,sutil,Force India,10,18,0,Engine
2010,2,Australian Grand Prix,albert_park,petrov,Renault,18,19,0,Spun off
2010,2,Australian Grand Prix,albert_park,bruno_senna,HRT,21,20,0,Hydraulics
2010,2,Australian Grand Prix,albert_park,buemi,Toro Rosso,12,21,0,Collision
2010,2,Australian Grand Prix,albert_park,hulkenberg,Williams,15,22,0,Collision
2010,2,Australian Grand Prix,albert_park,kobayashi,Sauber,16,23,0,Collision
2010,2,Australian Grand Prix,albert_park,trulli,Lotus,20,24,0,Hydraulics
2010,3,Malaysian Grand Prix,sepang,vettel,Red Bull,3,1,25,Finished
2010,3,Malaysian Grand Prix,sepang,webber,Red Bull,1,2,18,Finished
2010,3,Malaysian Grand Prix,sepang,rosberg,Mercedes,2,3,15,Finished
2010,3,Malaysian Grand Prix,sepang,kubica,Renault,6,4,12,Finished
2010,3,Malaysian Grand Prix,sepang,sutil,Force India,4,5,10,Finished
2010,3,Malaysian Grand Prix,sepang,hamilton,McLaren,20,6,8,Finished
2010,3,Malaysian Grand Prix,sepang,massa,Ferrari,21,7,6,Finished
2010,3,Malaysian Grand Prix,sepang,button,McLaren,17,8,4,Finished
2010,3,Malaysian Grand Prix,sepang,alguersuari,Toro Rosso,14,9,2,Finished
2010,3,Malaysian Grand Prix,sepang,hulkenberg,Williams,5,10,1,Finished
2010,3,Malaysian Grand Prix,sepang,buemi,Toro Rosso,13,11,0,Finished
2010,3,Malaysian Grand Prix,sepang,barrichello,Williams,7,12,0,+1 Lap
2010,3,Malaysian Grand Prix,sepang,alonso,Ferrari,19,13,0,Engine
2010,3,Malaysian Grand Prix,sepang,grassi,Virgin,24,14,0,+3 Laps
2010,3,Malaysian Grand Prix,sepang,chandhok,HRT,22,15,0,+3 Laps
2010,3,Malaysian Grand Prix,sepang,bruno_senna,HRT,23,16,0,+4 Laps
2010,3,Malaysian Grand Prix,sepang,trulli,Lotus,18,17,0,+5 Laps
2010,3,Malaysian Grand Prix,sepang,kovalainen,Lotus,15,18,0,+10 Laps
2010,3,Malaysian Grand Prix,sepang,petrov,Renault,11,19,0,Gearbox
2010,3,Malaysian Grand Prix,sepang,liuzzi,Force India,10,20,0,Throttle
2010,3,Malaysian Grand Prix,sepang,michael_schumacher,Mercedes,8,21,0,Wheel
2010,3,Malaysian Grand Prix,sepang,kobayashi,Sauber,9,22,0,Engine
2010,3,Malaysian Grand Prix,sepang,glock,Virgin,16,23,0,Spun off
2010,3,Malaysian Grand Prix,sepang,rosa,Sauber,12,24,0,Engine
2010,4,Chinese Grand Prix,shanghai,button,McLaren,5,1,25,Finished
2010,4,Chinese Grand Prix,shanghai,hamilton,McLaren,6,2,18,Finished
2010,4,Chinese Grand Prix,shanghai,rosberg,Mercedes,4,3,15,Finished
2010,4,Chinese Grand Prix,shanghai,alonso,Ferrari,3,4,12,Finished
2010,4,Chinese Grand Prix,shanghai,kubica,Renault,8,5,10,Finished
2010,4,Chinese Grand Prix,shanghai,vettel,Red Bull,1,6,8,Finished
2010,4,Chinese Grand Prix,shanghai,petrov,Renault,14,7,6,Finished
2010,4,Chinese Grand Prix,shanghai,webber,Red Bull,2,8,4,Finished
2010,4,Chinese Grand Prix,shanghai,massa,Ferrari,7,9,2,Finished
2010,4,Chinese Grand Prix,shanghai,michael_schumacher,Mercedes,9,10,1,Finished
2010,4,Chinese Grand Prix,shanghai,sutil,Force India,10,11,0,Finished
2010,4,Chinese Grand Prix,shanghai,barrichello,Williams,11,12,0,Finished
2010,4,Chinese Grand Prix,shanghai,alguersuari,Toro Rosso,12,13,0,Finished
2010,4,Chinese Grand Prix,shanghai,kovalainen,Lotus,21,14,0,+1 Lap
2010,4,Chinese Grand Prix,shanghai,hulkenberg,Williams,16,15,0,+1 Lap
2010,4,Chinese Grand Prix,shanghai,bruno_senna,HRT,23,16,0,+2 Laps
2010,4,Chinese Grand Prix,shanghai,chandhok,HRT,24,17,0,+4 Laps
2010,4,Chinese Grand Prix,shanghai,trulli,Lotus,20,18,0,Hydraulics
2010,4,Chinese Grand Prix,shanghai,grassi,Virgin,22,19,0,Clutch
2010,4,Chinese Grand Prix,shanghai,rosa,Sauber,17,20,0,Technical
2010,4,Chinese Grand Prix,shanghai,buemi,Toro Rosso,13,21,0,Accident
2010,4,Chinese Grand Prix,shanghai,kobayashi,Sauber,15,22,0,Accident
2010,4,Chinese Grand Prix,shanghai,liuzzi,Force India,18,23,0,Accident
2010,4,Chinese Grand Prix,shanghai,glock,Virgin,19,24,0,Engine
2010,5,Spanish Grand Prix,catalunya,webber,Red Bull,1,1,25,Finished
2010,5,Spanish Grand Prix,catalunya,alonso,Ferrari,4,2,18,Finished
2010,5,Spanish Grand Prix,catalunya,vettel,Red Bull,2,3,15,Finished
2010,5,Spanish Grand Prix,catalunya,michael_schumacher,Mercedes,6,4,12,Finished
2010,5,Spanish Grand Prix,catalunya,button,McLaren,5,5,10,Finished
2010,5,Spanish Grand Prix,catalunya,massa,Ferrari,9,6,8,Finished
2010,5,Spanish Grand Prix,catalunya,sutil,Force India,11,7,6,Finished
2010,5,Spanish Grand Prix,catalunya,kubica,Renault,7,8,4,Finished
2010,5,Spanish Grand Prix,catalunya,barrichello,Williams,17,9,2,+1 Lap
2010,5,Spanish Grand Prix,catalunya,alguersuari,Toro Rosso,15,10,1,+1 Lap
2010,5,Spanish Grand Prix,catalunya,petrov,Renault,19,11,0,+1 Lap
2010,5,Spanish Grand Prix,catalunya,kobayashi,Sauber,10,12,0,+1 Lap
2010,5,Spanish Grand Prix,catalunya,rosberg,Mercedes,8,13,0,+1 Lap
2010,5,Spanish Grand Prix,catalunya,hamilton,McLaren,3,14,0,Puncture
2010,5,Spanish Grand Prix,catalunya,liuzzi,Force India,16,15,0,Engine
2010,5,Spanish Grand Prix,catalunya,hulkenberg,Williams,13,16,0,+2 Laps
2010,5,Spanish Grand Prix,catalunya,trulli,Lotus,18,17,0,+3 Laps
2010,5,Spanish Grand Prix,catalunya,glock,Virgin,22,18,0,+3 Laps
2010,5,Spanish Grand Prix,catalunya,grassi,Virgin,23,19,0,+4 Laps
2010,5,Spanish Grand Prix,catalunya,buemi,Toro Rosso,14,20,0,Hydraulics
2010,5,Spanish Grand Prix,catalunya,chandhok,HRT,24,21,0,Suspension
2010,5,Spanish Grand Prix,catalunya,rosa,Sauber,12,22,0,Collision
2010,5,Spanish Grand Prix,catalunya,bruno_senna,HRT,21,23,0,Accident
2010,5,Spanish Grand Prix,catalunya,kovalainen,Lotus,20,24,0,Gearbox
2010,6,Monaco Grand Prix,monaco,webber,Red Bull,1,1,25,Finished
2010,6,Monaco Grand Prix,monaco,vettel,Red Bull,3,2,18,Finished
2010,6,Monaco Grand Prix,monaco,kubica,Renault,2,3,15,Finished
2010,6,Monaco Grand Prix,monaco,massa,Ferrari,4,4,12,Finished
2010,6,Monaco Grand Prix,monaco,hamilton,McLaren,5,5,10,Finished
2010,6,Monaco Grand Prix,monaco,alonso,Ferrari,24,6,8,Finished
2010,6,Monaco Grand Prix,monaco,rosberg,Mercedes,6,7,6,Finished
2010,6,Monaco Grand Prix,monaco,sutil,Force India,12,8,4,Finished
2010,6,Monaco Grand Prix,monaco,liuzzi,Force India,10,9,2,Finished
2010,6,Monaco Grand Prix,monaco,buemi,Toro Rosso,13,10,1,Finished
2010,6,Monaco Grand Prix,monaco,alguersuari,Toro Rosso,17,11,0,Finished
2010,6,Monaco Grand Prix,monaco,michael_schumacher,Mercedes,7,12,0,Finished
2010,6,Monaco Grand Prix,monaco,petrov,Renault,14,13,0,Brakes
2010,6,Monaco Grand Prix,monaco,chandhok,HRT,23,14,0,Collision
2010,6,Monaco Grand Prix,monaco,trulli,Lotus,19,15,0,Collision
2010,6,Monaco Grand Prix,monaco,kovalainen,Lotus,18,16,0,Steering
2010,6,Monaco Grand Prix,monaco,bruno_senna,HRT,22,17,0,Hydraulics
2010,6,Monaco Grand Prix,monaco,barrichello,Williams,9,18,0,Suspension
2010,6,Monaco Grand Prix,monaco,kobayashi,Sauber,16,19,0,Gearbox
2010,6,Monaco Grand Prix,monaco,grassi,Virgin,21,20,0,Wheel
2010,6,Monaco Grand Prix,monaco,glock,Virgin,20,21,0,Track rod
2010,6,Monaco Grand Prix,monaco,rosa,Sauber,15,22,0,Hydraulics
2010,6,Monaco Grand Prix,monaco,button,McLaren,8,23,0,Engine
2010,6,Monaco Grand Prix,monaco,hulkenberg,Williams,11,24,0,Front wing
2010,7,Turkish Grand Prix,istanbul,hamilton,McLaren,2,1,25,Finished
2010,7,Turkish Grand Prix,istanbul,button,McLaren,4,2,18,Finished
2010,7,Turkish Grand Prix,istanbul,webber,Red Bull,1,3,15,Finished
2010,7,Turkish Grand Prix,istanbul,michael_schumacher,Mercedes,5,4,12,Finished
2010,7,Turkish Grand Prix,istanbul,rosberg,Mercedes,6,5,10,Finished
2010,7,Turkish Grand Prix,istanbul,kubica,Renault,7,6,8,Finished
2010,7,Turkish Grand Prix,istanbul,massa,Ferrari,8,7,6,Finished
2010,7,Turkish Grand Prix,istanbul,alonso,Ferrari,12,8,4,Finished
2010,7,Turkish Grand Prix,istanbul,sutil,Force India,11,9,2,Finished
2010,7,Turkish Grand Prix,istanbul,kobayashi,Sauber,10,10,1,Finished
2010,7,Turkish Grand Prix,istanbul,rosa,Sauber,13,11,0,Finished
2010,7,Turkish Grand Prix,istanbul,alguersuari,Toro Rosso,16,12,0,Finished
2010,7,Turkish Grand Prix,istanbul,liuzzi,Force India,18,13,0,+1 Lap
2010,7,Turkish Grand Prix,istanbul,barrichello,Williams,15,14,0,+1 Lap
2010,7,Turkish Grand Prix,istanbul,petrov,Renault,9,15,0,+1 Lap
2010,7,Turkish Grand Prix,istanbul,buemi,Toro Rosso,14,16,0,+1 Lap
2010,7,Turkish Grand Prix,istanbul,hulkenberg,Williams,17,17,0,+1 Lap
2010,7,Turkish Grand Prix,istanbul,glock,Virgin,21,18,0,+3 Laps
2010,7,Turkish Grand Prix,istanbul,grassi,Virgin,23,19,0,+3 Laps
2010,7,Turkish Grand Prix,istanbul,chandhok,HRT,24,20,0,Fuel pump
2010,7,Turkish Grand Prix,istanbul,bruno_senna,HRT,22,21,0,Fuel pressure
2010,7,Turkish Grand Prix,istanbul,vettel,Red Bull,3,22,0,Collision
2010,7,Turkish Grand Prix,istanbul,kovalainen,Lotus,20,23,0,Hydraulics
2010,7,Turkish Grand Prix,istanbul,trulli,Lotus,19,24,0,Hydraulics
2010,8,Canadian Grand Prix,villeneuve,hamilton,McLaren,1,1,25,Finished
2010,8,Canadian Grand Prix,villeneuve,button,McLaren,4,2,18,Finished
2010,8,Canadian Grand Prix,villeneuve,alonso,Ferrari,3,3,15,Finished
2010,8,Canadian Grand Prix,villeneuve,vettel,Red Bull,2,4,12,Finished
2010,8,Canadian Grand Prix,villeneuve,webber,Red Bull,7,5,10,Finished
2010,8,Canadian Grand Prix,villeneuve,rosberg,Mercedes,10,6,8,Finished
2010,8,Canadian Grand Prix,villeneuve,kubica,Renault,8,7,6,Finished
2010,8,Canadian Grand Prix,villeneuve,buemi,Toro Rosso,15,8,4,+1 Lap
2010,8,Canadian Grand Prix,villeneuve,liuzzi,Force India,5,9,2,+1 Lap
2010,8,Canadian Grand Prix,villeneuve,sutil,Force India,9,10,1,+1 Lap
2010,8,Canadian Grand Prix,villeneuve,michael_schumacher,Mercedes,13,11,0,+1 Lap
2010,8,Canadian Grand Prix,villeneuve,alguersuari,Toro Rosso,16,12,0,+1 Lap
2010,8,Canadian Grand Prix,villeneuve,hulkenberg,Williams,12,13,0,+1 Lap
2010,8,Canadian Grand Prix,villeneuve,barrichello,Williams,11,14,0,+1 Lap
2010,8,Canadian Grand Prix,villeneuve,massa,Ferrari,6,15,0,+1 Lap
2010,8,Canadian Grand Prix,villeneuve,kovalainen,Lotus,19,16,0,+2 Laps
2010,8,Canadian Grand Prix,villeneuve,petrov,Renault,14,17,0,+2 Laps
2010,8,Canadian Grand Prix,villeneuve,chandhok,HRT,24,18,0,+4 Laps
2010,8,Canadian Grand Prix,villeneuve,grassi,Virgin,23,19,0,+5 Laps
2010,8,Canadian Grand Prix,villeneuve,glock,Virgin,21,20,0,Mechanical
2010,8,Canadian Grand Prix,villeneuve,trulli,Lotus,20,21,0,Brakes
2010,8,Canadian Grand Prix,villeneuve,rosa,Sauber,17,22,0,Engine
2010,8,Canadian Grand Prix,villeneuve,bruno_senna,HRT,22,23,0,Hydraulics
2010,8,Canadian Grand Prix,villeneuve,kobayashi,Sauber,18,24,0,Accident
2010,9,European Grand Prix,valencia,vettel,Red Bull,1,1,25,Finished
2010,9,European Grand Prix,valencia,hamilton,McLaren,3,2,18,Finished
2010,9,European Grand Prix,valencia,button,McLaren,7,3,15,Finished
2010,9,European Grand Prix,valencia,barrichello,Williams,9,4,12,Finished
2010,9,European Grand Prix,valencia,kubica,Renault,6,5,10,Finished
2010,9,European Grand Prix,valencia,sutil,Force India,13,6,8,Finished
2010,9,European Grand Prix,valencia,kobayashi,Sauber,18,7,6,Finished
2010,9,European Grand Prix,valencia,alonso,Ferrari,4,8,4,Finished
2010,9,European Grand Prix,valencia,buemi,Toro Rosso,11,9,2,Finished
2010,9,European Grand Prix,valencia,rosberg,Mercedes,12,10,1,Finished
2010,9,European Grand Prix,valencia,massa,Ferrari,5,11,0,Finished
2010,9,European Grand Prix,valencia,rosa,Sauber,16,12,0,Finished
2010,9,European Grand Prix,valencia,alguersuari,Toro Rosso,17,13,0,Finished
2010,9,European Grand Prix,valencia,petrov,Renault,10,14,0,Finished
2010,9,European Grand Prix,valencia,michael_schumacher,Mercedes,15,15,0,Finished
2010,9,European Grand Prix,valencia,liuzzi,Force India,14,16,0,Finished
2010,9,European Grand Prix,valencia,grassi,Virgin,21,17,0,+1 Lap
2010,9,European Grand Prix,valencia,chandhok,HRT,23,18,0,+2 Laps
2010,9,European Grand Prix,valencia,glock,Virgin,22,19,0,+2 Laps
2010,9,European Grand Prix,valencia,bruno_senna,HRT,24,20,0,+2 Laps
2010,9,European Grand Prix,valencia,trulli,Lotus,19,21,0,+4 Laps
2010,9,European Grand Prix,valencia,hulkenberg,Williams,8,22,0,Exhaust
2010,9,European Grand Prix,valencia,kovalainen,Lotus,20,23,0,Collision
2010,9,European Grand Prix,valencia,webber,Red Bull,2,24,0,Collision
2010,10,British Grand Prix,silverstone,webber,Red Bull,2,1,25,Finished
2010,10,British Grand Prix,silverstone,hamilton,McLaren,4,2,18,Finished
2010,10,British Grand Prix,silverstone,rosberg,Mercedes,5,3,15,Finished
2010,10,British Grand Prix,silverstone,button,McLaren,14,4,12,Finished
2010,10,British Grand Prix,silverstone,barrichello,Williams,8,5,10,Finished
